Age Group,Females,Males,Total Population,Test
0 - 4,2938867,3000439,5939306,test
10 - 14,2469542,2565313,5034855,test
15 - 19,2045890,2123653,4169543,test
20 - 24,2020998,1754105,3775103,test
25 - 29,1672110,1529116,3201226,test
30 - 34,1262471,1257035,2519506,test
35 - 39,1004271,1004361,2008632,test
40 - 44,732575,743594,1476169,test
45 - 49,637469,635276,1272745,test
5 - 9,2765047,2832669,5597716,test
50 - 54,477860,478346,956206,test
55 - 59,352487,359466,711953,test
60 - 64,298581,295197,593778,test
65 - 69,207612,183151,390763,test
70 - 74,179000,160301,339301,test
75 - 79,118675,99833,218508,test
80+,224576,159125,383701,test
